Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-10-16,Lowe's,Lowe's Home Improvement,-26.39,debit,Home Improvement,Alaska Airlines Visa Signature,,
2023-10-16,Brown Bear,BROWN BEAR AURORA,-24,debit,Parking & Car Wash,Alaska Airlines Visa Signature,,
2023-10-15,Target,Target,-89.61,debit,Groceries,Alaska Airlines Visa Signature,,
2023-07-07,Ulta Beauty,ULTA,-66.15,debit,Personal,Alaska Airlines Visa Signature,,
2023-07-07,Trader Joe's,Trader Joe's,-9.47,debit,Groceries,Alaska Airlines Visa Signature,,
2023-07-07,Target,Target,-26.47,debit,Groceries,Alaska Airlines Visa Signature,,
2023-07-07,Mud Bay Pet Supplies,MUD BAY SHORELINE,-17.63,debit,Moomoo misc,Alaska Airlines Visa Signature,,
2023-07-07,ARCO,ARCO#00980MERCED MARKET,-33.58,debit,Gas,Alaska Airlines Visa Signature,,
2023-06-27,Dick S Drive in Broadw,DICK'S DRIVE IN BROADWAY,-18.74,debit,Restaurants,Alaska Airlines Visa Signature,,
2023-06-23,PCC Natural Markets,PCC - VIEW RIDGE,-67.96,debit,Groceries,Alaska Airlines Visa Signature,,
2023-06-23,Metropolitan Market,METROPOLITAN MKT 15,-69.99,debit,Groceries,Alaska Airlines Visa Signature,,
2023-06-19,Copper Tree Cafe,COPPER TREE CAFE,-5,debit,Restaurants,Alaska Airlines Visa Signature,,
2023-06-17,Mighty O Donuts,MIGHTY-O DONUTS - CAPSeattle,-9,debit,Restaurants,Alaska Airlines Visa Signature,,
2023-06-17,Ian S Pizza on the,IAN'S PIZZA ON THE HISeattle,-31.5,debit,Restaurants,Alaska Airlines Visa Signature,,
2023-06-13,Fob Poke Bar,FOB POKE BAR,-18.5,debit,Restaurants,Alaska Airlines Visa Signature,,
2023-06-12,Optimism Brewing,OPTIMISM BREWING COMPSeattle,-2.5,debit,Restaurants,Alaska Airlines Visa Signature,,
2023-06-10,76 Fuel,76 - UNITED PACIFIC 5927,-22.59,debit,Gas,Alaska Airlines Visa Signature,,